TotalTime,Age,Gender,BreakfastToday,BreakfastUsually,HowHungry,TimeProposerInfo,TimeProposer,ProposedAmount,TimeResponderInfo,TimeResponder,TimeQ1,Q1,TimeQ2,Q2,TimeQ3,Q3,TimeQ4,Q4,TimeQ5,Q5,TimeQ6,Q6,TimeQ7,Q7,TimeQ8,Q8,QuestionsCorrect,LowestAcceptable,HighestAcceptable,UGFamiliar,QuestionsFamiliar,TotalQuestionTime,Condition,ProposerFirst,TotalProposerTime,TotalResponderTime,Cooperation,TotalCooperationTime,Condition.Name,TimeInfo
1098,20,F,0,0,4,134.153,46.434,7.5,7.374,60.996,67.683,1,65.105,1,25.469,1,249.116,1,147.96,1,129.336,0,72.141,1,49.882,0,0.75,3,10,1,0,806.692,0,1,180.587,68.37,10.5,248.957,No Breakfast,141.527
1377,23,M,0,1,6,61.835,16.775,2.5,33.926,46.027,80.692,0,204.33,0,36.528,0,116.103,0,140.077,0,265.881,0,288.029,0,48.008,0,0,5.5,10,0,0,1179.648,0,1,78.61,79.953,8,158.563,No Breakfast,95.761
483,24,M,0,1,6,37.572,20.18,5,11.955,34.858,15.368,1,62.988,0,36.208,1,39.072,1,25.321,1,81.408,0,40.7,1,46.005,0,0.625,4.5,10,0,0,347.07,0,1,57.752,46.813,9.5,104.565,No Breakfast,49.527
1004,27,F,1,1,5,53.251,66.792,8,46.434,54.459,78.26,0,92.647,1,92.858,1,121.515,1,89.945,1,63.434,1,129.025,1,53.894,0,0.75,2,8,1,0,721.578,1,1,120.043,100.893,10,220.936,Breakfast,99.685
1171,32,M,0,1,4,148.225,30.441,6,17.525,81.085,31.735,0,102.234,1,127.419,1,211.161,1,36.94,1,195.595,0,91.368,1,51.012,0,0.625,3,10,0,0,847.464,1,1,178.666,98.61,9,277.276,Breakfast,165.75
858,24,M,1,1,2,43.356,49.243,7.5,49.455,136.227,39.373,0,51.733,0,122.417,0,66.65,0,38.642,1,59.235,0,62.513,0,88.608,1,0.25,3,7.5,1,0,529.171,0,1,92.599,185.682,10.5,278.281,No Breakfast,92.811
601,24,M,1,1,1,75.231,47.595,4.5,25.537,51.913,56.985,1,36.881,1,19.002,1,52.712,1,50.244,0,55.52,1,54.802,1,41.794,0,0.75,4,10,0,0,367.94,1,1,122.826,77.45,8.5,200.276,Breakfast,100.768
943,29,F,1,1,1,78.851,44.86,5,55.724,41.974,46.871,0,36.431,0,124.425,0,191.852,0,45.843,0,45.195,1,134.358,1,45.303,1,0.375,5,10,0,0,670.278,1,1,123.711,97.698,10,221.409,Breakfast,134.575
889,29,F,1,1,2,82.058,25.376,4,44.709,78.954,51.919,1,39.846,1,20.199,1,94.586,0,36.052,1,80.051,0,187.994,1,104.721,0,0.625,3,10,1,0,615.368,1,1,107.434,123.663,7,231.097,Breakfast,126.767
717,24,F,1,0,1,39.883,55.271,8,22.479,49.697,68.098,0,39.947,0,113.898,0,55.345,0,29.541,1,59.098,1,100.185,0,60.615,0,0.25,0.5,10,1,0,526.727,1,1,95.154,72.176,8.5,167.33,Breakfast,62.362
