"UniqueID","omega1","lambda","gamma","pbeta","Condition","Gender","BreakfastToday","BreakfastUsually","HowHungry","Punishment.First","GroupHunger","Condition.Name"
"Replication 46",0.6098549993315,0.0629375427058057,0.541829714268899,0.941230482999033,1,"F",1,1,5,"Y",2.5,"Breakfast"
"Replication 47",0.941454118098784,0.0641829678175493,0.0242675910169608,0.959620377920724,1,"M",1,1,2,"Y",2.5,"Breakfast"
"Replication 48",0.320566030853589,0.207184838974535,0.881380434233216,0.353818212458556,1,"M",1,1,2,"Y",2.5,"Breakfast"
"Replication 49",0.941359689574264,0.112235326623757,0.0511321979072132,0.857252929016443,0,"F",0,1,6,"Y",6,"No Breakfast"
"Replication 5",0.924902154394907,0.059349087545443,0.765083605536129,0.97662270423446,1,"F",1,1,2,"Y",1.5,"Breakfast"
"Replication 50",0.474785519512373,0.130512057101935,0.0541514473552291,0.524934558028127,0,"M",0,0,7,"Y",6,"No Breakfast"
"Replication 51",0.927583082525708,0.0808235073332952,0.790304674140084,0.919773831547399,0,"M",0,1,5,"Y",6,"No Breakfast"
"Replication 52",0.923540757363265,0.0412063195741941,0.361247947541179,0.985682573984491,0,"M",0,1,6,"Y",6,"No Breakfast"
"Replication 53",0.939978282206737,0.0486123990073434,0.073003636593774,0.986646165629677,0,"F",0,1,2,"Y",3.5,"No Breakfast"
"Replication 54",0.936710428417358,0.0593088973375541,0.0533358010372757,0.976739422884914,0,"M",0,0,2,"Y",3.5,"No Breakfast"
"Replication 55",0.935037102257291,0.0420850382966539,0.908561492334257,0.990276086811327,0,"F",0,1,7,"Y",3.5,"No Breakfast"
"Replication 56",0.841750004890156,0.163682047392069,0.0773676764491816,0.445066347390266,0,"M",0,1,3,"Y",3.5,"No Breakfast"
"Replication 57",0.934934691204462,0.280851118488124,0.0449794270291145,0.154363494556139,0,"M",0,1,6,"N",5.5,"No Breakfast"
"Replication 58",0.939263160428609,0.0347398545273202,0.0574216524245126,0.987443350260114,0,"F",0,1,4,"N",5.5,"No Breakfast"
"Replication 59",0.9531932872801,0.0283977900466792,0.0395694217117844,0.985163964396124,0,"M",0,1,8,"N",5.5,"No Breakfast"
"Replication 6",0.767124499725759,0.217461607886671,0.157944532654,0.499110038973191,1,"M",1,1,1,"Y",1.5,"Breakfast"
"Replication 60",0.914451079983864,0.0395219266876861,0.333846966856148,0.98724461568498,0,"F",0,0,4,"N",5.5,"No Breakfast"
"Replication 61",0.938803547149798,0.0310522332660368,0.374485124699054,0.975762590733477,0,"F",0,1,4,"N",5.25,"No Breakfast"
"Replication 62",0.917077113587172,0.0530397518536007,0.0936324882099267,0.969877385151544,0,"F",0,0,2,"N",5.25,"No Breakfast"
"Replication 63",0.296465893921457,0.129808083394607,0.583146032070286,0.665885344175386,0,"M",0,1,6,"N",5.25,"No Breakfast"
"Replication 64",0.922773007076128,0.212666852368584,0.634286842036981,0.447127207842874,0,"M",0,1,9,"N",5.25,"No Breakfast"
"Replication 65",0.915114960563656,0.0821792463967996,0.0477382623754354,0.968780247716793,0,"M",0,1,6,"N",6.5,"No Breakfast"
"Replication 66",0.900513308477617,0.0780282446327524,0.486871174320815,0.953408725419063,0,"M",0,1,9,"N",6.5,"No Breakfast"
"Replication 67",0.893220701679809,0.0541891461920205,0.242223212043454,0.965687035450432,0,"M",0,0,3,"N",6.5,"No Breakfast"
"Replication 68",0.88079028995877,0.0699810586658166,0.460938052711662,0.9545398929169,0,"M",0,1,8,"N",6.5,"No Breakfast"
"Replication 69",0.947809019198379,0.0722888160486544,0.773147412175327,0.963843598663682,0,"F",0,1,1,"N",4.5,"No Breakfast"
"Replication 7",0.062374366140674,0.909658873241411,0.292075046233452,0.0569959326167276,1,"M",1,1,2,"Y",1.5,"Breakfast"
"Replication 70",0.942359918258396,0.0293296760767352,0.416591161130803,0.988131334207477,0,"F",0,0,3,"N",4.5,"No Breakfast"
"Replication 71",0.583096129435461,0.0895663679962155,0.0697999761577524,0.704712959734824,0,"F",0,0,7,"N",4.5,"No Breakfast"
"Replication 72",0.929135009212049,0.0428225051798882,0.77021005239946,0.981652567211143,0,"M",0,1,7,"N",4.5,"No Breakfast"
"Replication 73",0.94596416693282,0.0331231727029937,0.995114199311009,0.989407024913917,1,"M",1,1,1,"N",2.75,"Breakfast"
"Replication 74",0.320515722103073,0.0743561866029167,0.777923543184858,0.85742909422411,1,"F",1,1,2,"N",2.75,"Breakfast"
"Replication 75",0.855406415190211,0.425983717180121,0.952157858725668,0.618040527758901,1,"F",1,1,2,"N",2.75,"Breakfast"
"Replication 76",0.918963973326621,0.0937959168575686,0.869929883463408,0.764358114672552,1,"F",1,1,6,"N",2.75,"Breakfast"
"Replication 77",0.135807462913594,0.178806397888705,0.178756263214013,0.372108680698042,1,"F",1,1,1,"N",3.5,"Breakfast"
"Replication 78",0.824165716539533,0.0588335454398382,0.0566728556007976,0.941651287844175,1,"M",1,1,3,"N",3.5,"Breakfast"
"Replication 79",0.95440632314151,0.0153391380378097,0.06326948696768,0.97689864468989,1,"F",0,1,9,"N",3.5,"Breakfast"
"Replication 8",0.93832440473217,0.0490466064148168,0.908011804470035,0.986455939411484,1,"M",1,1,1,"Y",1.5,"Breakfast"
"Replication 80",0.912708499989693,0.155530531247799,0.939747766902582,0.565525674961583,1,"F",1,0,1,"N",3.5,"Breakfast"
